graph_type,method,repetition,dimension,depth,max_parents,sparsity,correlation,observed_fraction,observation_strategy,block_size,runtime_seconds,ess_mean,ess_per_second,mean_rmse,variance_rmse,covariance_frobenius_error,posterior_condition_number,mean_abs_posterior_corr,max_abs_posterior_corr,precision_density,block_within_precision_mass,block_cut_ratio,n_blocks,mean_block_size,max_block_size_actual,gibbs_spectral_radius,rb_mean_rmse,rb_variance_rmse
random_sparse,block_random,1,60,,6,0.18,0.8,0.4,deep,8,0.03396781200001442,168.99932914878053,4975.2786299190775,0.09923116221205748,0.1879476514631577,3.251937248799087,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.19283850387331508,0.8071614961266849,5,7.2,8,0.8251063984864817,0.08354630124137669,0.12079253820253472
random_sparse,block_precision_bfs,1,60,,6,0.18,0.8,0.4,deep,8,0.03963634800004456,179.457983095955,4527.611451381778,0.09209110584191937,0.11233880042155013,2.5689378823849696,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.31640331637335417,0.6835966836266458,6,6.0,8,0.8648932250826562,0.07884815138291693,0.0848578282898355
random_sparse,block_topological,1,60,,6,0.18,0.8,0.4,deep,12,0.021765340999991167,208.5564069325823,9582.041785270763,0.06118436687930253,0.07912522410929458,2.5615857215485214,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.3947638854741063,0.6052361145258938,3,12.0,12,0.8062687982470365,0.043997856275168154,0.04210709830176472
random_sparse,block_random,1,60,,6,0.18,0.8,0.4,deep,12,0.022278280000023187,159.81804056041628,7173.715410716175,0.06877640881297736,0.11766385805195048,2.68332055680164,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.3056734091029645,0.6943265908970355,3,12.0,12,0.8415202218741136,0.05373134617710005,0.0660843026271825
random_sparse,block_precision_bfs,1,60,,6,0.18,0.8,0.4,deep,12,0.021563068999967072,247.82846387307603,11493.190689760093,0.06308943207181962,0.08259983501406393,2.0261206379003025,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.434555745370945,0.565444254629055,3,12.0,12,0.8180082266609533,0.04577256225288963,0.05121119249773022
random_sparse,block_topological,1,60,,6,0.18,0.8,0.4,deep,16,0.021790322000015294,200.15333752244908,9185.423580354094,0.07924619466014601,0.16872419667925184,2.6623262965195784,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.5188152474559147,0.4811847525440853,3,12.0,16,0.7882191544982633,0.06108166117851045,0.1078415610481983
random_sparse,block_random,1,60,,6,0.18,0.8,0.4,deep,16,0.0217048629999681,216.59594958129452,9979.143825124022,0.08719642004487482,0.18891929553048895,3.023055688077951,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.4497569710011152,0.5502430289988848,3,12.0,16,0.8585096910302139,0.07823990517110291,0.13111555009057552
random_sparse,block_precision_bfs,1,60,,6,0.18,0.8,0.4,deep,16,0.035218899000028614,250.03235979009267,7099.380357968871,0.14799791581215122,0.16233192516304823,3.041656363205215,79.56606134076611,0.14238070827510177,0.7049387955909012,0.4111111111111111,0.5499900921449452,0.4500099078550548,5,7.2,16,0.7893650015484591,0.12230879611892409,0.12796273949322975
random_sparse,block_topological,2,60,,6,0.18,0.8,0.4,uniform,2,0.10872359799998321,163.56829006773117,1504.4414743132068,0.12126084708089022,0.21339419274523408,4.3739183067011655,77.8311185931396,0.12810576416678776,0.7354274312104018,0.30952380952380953,0.01624158746234522,0.9837584125376548,18,2.0,2,0.87391939743403,0.11126518348049877,0.18116403773716444
random_sparse,block_random,2,60,,6,0.18,0.8,0.4,uniform,2,0.11216952500001298,165.07950847882643,1471.6965992216453,0.1500072997104671,0.13089096641417844,3.7693744206847937,77.8311185931396,0.12810576416678776,0.7354274312104018,0.30952380952380953,0.03152322190048759,0.9684767780995124,18,2.0,2,0.8704811152650557,0.132987706583034,0.10929262310505969
random_sparse,block_precision_bfs,2,60,,6,0.18,0.8,0.4,uniform,2,0.1251484790000177,215.04081164340982,1718.285458694064,0.17652382081861315,0.16228472320327947,3.7351286160253068,77.8311185931396,0.12810576416678776,0.7354274312104018,0.30952380952380953,0.22794277334619606,0.7720572266538039,20,1.8,2,0.8269540608824156,0.15766394690750624,0.12527531933910754
random_sparse,block_topological,2,60,,6,0.18,0.8,0.4,uniform,4,0.05792867499997101,162.14360384324726,2799.021449106654,0.204872105434071,0.1650099669175787,3.9949196889610907,77.8311185931396,0.12810576416678776,0.7354274312104018,0.30952380952380953,0.08867497127098155,0.9113250287290184,9,4.0,4,0.866157005269004,0.18668649726026337,0.12207462435097016
random_sparse,block_random,2,60,,6,0.18,0.8,0.4,uniform,4,0.05703859000004741,173.33895342008853,3038.976829896119,0.12360967241468897,0.1931452911734956,3.878228341233721,77.8311185931396,0.12810576416678776,0.7354274312104018,0.30952380952380953,0.0775870471966556,0.9224129528033445,9,4.0,4,0.8840003041232476,0.10818445667402281,0.16688324141309677
